21HNWC2YW0118	0.000010	0.999960	0.000010	0.000010	0.000010
21HNSY11YW0543	0.999960	0.000010	0.000010	0.000010	0.000010
20NB23MAYYW2795	0.000010	0.000010	0.999960	0.000010	0.000010
20NB14JUNYW2900	0.000010	0.000010	0.000010	0.999960	0.000010
21HNLS3YW0465	0.000010	0.000010	0.999960	0.000010	0.000010
21NBJUNYW1186	0.000010	0.000010	0.000010	0.000010	0.999960
20NB22MAYYW2789	0.000010	0.000010	0.999960	0.000010	0.000010
20QDYW0368	0.999960	0.000010	0.000010	0.000010	0.000010
20WDYW1330	0.000010	0.000010	0.000010	0.999960	0.000010
20NB17MAYYW2775	0.000010	0.000010	0.000010	0.000010	0.999960
20SHYW0158	0.000010	0.000010	0.999960	0.000010	0.000010
21NBMAYYW2651	0.999960	0.000010	0.000010	0.000010	0.000010
20NB35JUNYW2908	0.000010	0.000010	0.000015	0.000010	0.999955
M19SYYW1343	0.000010	0.000010	0.000010	0.999960	0.000010
19GDYW2123	0.999960	0.000010	0.000010	0.000010	0.000010
20LKYW1489	0.000010	0.999960	0.000010	0.000010	0.000010
19MHDMCLYW1664	0.999960	0.000010	0.000010	0.000010	0.000010
21HNQH6YW0307	0.000010	0.000010	0.999960	0.000010	0.000010
21HNSY8YW0761	0.000010	0.000010	0.000010	0.000010	0.999960
21HNDZ8YW1003	0.000010	0.000010	0.000010	0.999960	0.000010
20SYYW0609	0.000010	0.000010	0.000010	0.999960	0.000010
21HNWC2YW0110	0.000010	0.999960	0.000010	0.000010	0.000010
21HNSY1YW0664	0.000010	0.000010	0.000010	0.999960	0.000010
19SCYW0838	0.000010	0.999960	0.000010	0.000010	0.000010
21HNDZ1YW0874	0.000010	0.999960	0.000010	0.000010	0.000010
19JHSYW1770	0.999960	0.000010	0.000010	0.000010	0.000010
20NB04JUNYW2904	0.000010	0.000010	0.000010	0.000010	0.999960
21HNSY18YW0830	0.000010	0.000010	0.000010	0.000010	0.999960
21HNWZS2YW1015	0.000010	0.999960	0.000010	0.000010	0.000010
21HNLS1YW0428	0.000010	0.000010	0.000010	0.000010	0.999960
20NB42JULYW2973	0.000010	0.999960	0.000010	0.000010	0.000010
19SCYW0839	0.999960	0.000010	0.000010	0.000010	0.000010
21HNQH4YW0268	0.999960	0.000010	0.000010	0.000010	0.000010
19MHDMCLYW1663	0.000010	0.000010	0.000010	0.000010	0.999960
19GDYW2118	0.000010	0.000010	0.000010	0.000010	0.999960
19NBYW2078	0.000010	0.999960	0.000010	0.000010	0.000010
20NB14SEPYW3017	0.000010	0.000010	0.000010	0.999960	0.000010
20SDLCYW1797	0.000010	0.000010	0.999960	0.000010	0.000010
21HNWZS2YW1019	0.000010	0.999960	0.000010	0.000010	0.000010
21HNQH2YW0222	0.000010	0.000010	0.000010	0.000010	0.999960
21HNSY11YW0542	0.000010	0.000010	0.000010	0.999960	0.000010
21HNLS3YW0460	0.999960	0.000010	0.000010	0.000010	0.000010
21HNWN1YW0353	0.000010	0.999960	0.000010	0.000010	0.000010
21HNSY1YW0668	0.000010	0.000010	0.000010	0.000010	0.999960
20NB77SEPYW3015	0.999960	0.000010	0.000010	0.000010	0.000010
21NB74JULYW4313	0.000010	0.000010	0.000010	0.000010	0.999960
21HNQZ6YW1148	0.000010	0.000010	0.999960	0.000010	0.000010
20NB49JULYW2976	0.000010	0.000010	0.000010	0.000010	0.999960
21HNSY1YW0662	0.000010	0.000010	0.000010	0.999960	0.000010
20SYYW0602	0.000010	0.000010	0.999960	0.000010	0.000010
